@relation twit_classification

@attribute 1person numeric
@attribute 2person numeric
@attribute 3person numeric
@attribute coord_conj numeric
@attribute past-tense numeric
@attribute future-tense numeric
@attribute commas numeric
@attribute colons-semicolons numeric
@attribute dashes numeric
@attribute paranthesis numeric
@attribute ellipses numeric
@attribute common-nouns numeric
@attribute proper-nouns numeric
@attribute adverbs numeric
@attribute wh-words numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute average-len-sent numeric
@attribute average-len-tokens numeric
@attribute number-sentences numeric
@attribute emoticons numeric
@attribute multipleexclaimation numeric
@attribute hashtags numeric
@attribute mentions numeric
@attribute numbers numeric
@attribute class {Popstars, News}

@data
0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,8.0,5.875,1,0,0,0,0,0,News
0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,13.0,4.75,1,0,0,0,0,0,News
0,0,2,0,0,0,1,0,0,0,0,2,2,0,1,0,0,14.0,4.0,1,0,0,0,0,0,News
0,0,0,0,0,0,1,1,1,0,0,0,8,0,0,0,1,13.0,5.8,1,0,0,0,0,0,News
0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,9.0,3.75,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7.0,4.85714285714,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6.0,4.83333333333,1,0,0,0,0,0,News
2,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,1,11.5,4.4,2,0,0,0,0,1,News
0,0,0,1,2,0,0,1,0,0,0,6,3,0,0,0,0,21.0,4.78947368421,1,0,0,1,0,1,News
0,0,1,0,1,0,0,0,0,0,0,7,1,0,0,0,0,8.0,4.68421052632,3,0,0,0,0,0,News
0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,10.0,4.0,1,0,0,1,0,1,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,7.0,5.0,1,0,0,0,0,0,News
1,1,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,6.5,5.09090909091,2,0,1,1,0,0,News
